"TimeCreated","Id","LevelDisplayName","MachineName","Message"
"4/06/2015 6:18:50 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.StandardDataSetMaintenance 
Instance name: Client Monitoring data set 
Instance ID: {909E6602-62B4-1570-0917-8F5AA4F8188B} 
Management group: TYANG"
"4/06/2015 6:18:50 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.StandardDataSetMaintenance 
Instance name: State data set 
Instance ID: {37E3D113-A6AE-A1EF-72EF-A232250E3FE8} 
Management group: TYANG"
"4/06/2015 6:18:49 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.StandardDataSetMaintenance 
Instance name: Microsoft.Windows.Client.Win8.Dataset.Memory 
Instance ID: {050AD877-0555-2EEB-0B5E-92086D65EADB} 
Management group: TYANG"
"4/06/2015 6:18:49 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.StandardDataSetMaintenance 
Instance name: Microsoft.Windows.Client.Win8.Dataset.ClientPerf 
Instance ID: {4D26F24F-1B37-9E0E-57C9-62A9A8E9E21F} 
Management group: TYANG"
"4/06/2015 6:18:49 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.StandardDataSetMaintenance 
Instance name: Microsoft.Windows.Client.Win7.Dataset.ClientPerf 
Instance ID: {8340C48B-A4F3-6EAA-72BF-BA89C6CE0FBB} 
Management group: TYANG"
"4/06/2015 6:18:49 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.StandardDataSetMaintenance 
Instance name: Microsoft.Windows.Client.Win7.Dataset.DiskFailure 
Instance ID: {9251696B-F8C0-89AF-9F56-D966E12CCAD6} 
Management group: TYANG"
"4/06/2015 6:18:10 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.CollectEventData 
Instance name: OPSMGRMS01.corp.tyang.org 
Instance ID: {6A615643-62DD-22E3-B137-73F4952CBB5F} 
Management group: TYANG"
"4/06/2015 6:18:10 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.CollectEntityHealthStateChange 
Instance name: OPSMGRMS01.corp.tyang.org 
Instance ID: {6A615643-62DD-22E3-B137-73F4952CBB5F} 
Management group: TYANG"
"4/06/2015 6:18:10 PM","31554","Information","OPSMGRMS01.corp.tyang.org","Workflow succeeded storing data in the Data Warehouse 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.CollectPerformanceData 
Instance name: OPSMGRMS01.corp.tyang.org 
Instance ID: {6A615643-62DD-22E3-B137-73F4952CBB5F} 
Management group: TYANG"
"4/06/2015 6:18:00 PM","31551","Error","OPSMGRMS01.corp.tyang.org","Failed to store data in the Data Warehouse. The operation will be retried.Exception 'SqlException': A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server) 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.CollectEventData 
Instance name: OPSMGRMS01.corp.tyang.org 
Instance ID: {6A615643-62DD-22E3-B137-73F4952CBB5F} 
Management group: TYANG"
"4/06/2015 6:18:00 PM","31552","Error","OPSMGRMS01.corp.tyang.org","Failed to store data in the Data Warehouse.Exception 'SqlException': A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server) 

One or more workflows were affected by this.  

Workflow name: Microsoft.SystemCenter.DataWarehouse.StandardDataSetMaintenance 
Instance name: Microsoft.Windows.Client.Win8.Dataset.Memory 
Instance ID: {050AD877-0555-2EEB-0B5E-92086D65EADB} 
Management group: TYANG"
